"","txt","id","name","symbol","slug"
"1","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1,"Bitcoin","BTC","bitcoin"
"2","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1027,"Ethereum","ETH","ethereum"
"3","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2010,"Cardano","ADA","cardano"
"4","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1839,"Binance Coin","BNB","binance-coin"
"5","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",825,"Tether","USDT","tether"
"6","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6636,"Polkadot","DOT","polkadot-new"
"7","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",52,"XRP","XRP","xrp"
"8","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2,"Litecoin","LTC","litecoin"
"9","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1975,"Chainlink","LINK","chainlink"
"10","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1831,"Bitcoin Cash","BCH","bitcoin-cash"
"11","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",512,"Stellar","XLM","stellar"
"12","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7083,"Uniswap","UNI","uniswap"
"13","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3408,"USD Coin","USDC","usd-coin"
"14","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",873,"NEM","XEM","nem"
"15","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",74,"Dogecoin","DOGE","dogecoin"
"16","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3717,"Wrapped Bitcoin","WBTC","wrapped-bitcoin"
"17","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7278,"Aave","AAVE","aave"
"18","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2416,"THETA","THETA","theta"
"19","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3794,"Cosmos","ATOM","cosmos"
"20","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",328,"Monero","XMR","monero"
"21","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3635,"Crypto.com Coin","CRO","crypto-com-coin"
"22","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1958,"TRON","TRX","tron"
"23","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1765,"EOS","EOS","eos"
"24","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5426,"Solana","SOL","solana"
"25","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3602,"Bitcoin SV","BSV","bitcoin-sv"
"26","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3077,"VeChain","VET","vechain"
"27","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1720,"IOTA","MIOTA","iota"
"28","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4172,"Terra","LUNA","terra-luna"
"29","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2502,"Huobi Token","HT","huobi-token"
"30","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4195,"FTX Token","FTT","ftx-token"
"31","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2011,"Tezos","XTZ","tezos"
"32","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4687,"Binance USD","BUSD","binance-usd"
"33","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1376,"Neo","NEO","neo"
"34","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2586,"Synthetix","SNX","synthetix-network-token"
"35","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6892,"Elrond","EGLD","elrond-egld"
"36","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4943,"Dai","DAI","multi-collateral-dai"
"37","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4030,"Algorand","ALGO","algorand"
"38","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6719,"The Graph","GRT","the-graph"
"39","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2280,"Filecoin","FIL","filecoin"
"40","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6758,"SushiSwap","SUSHI","sushiswap"
"41","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5692,"Compound","COMP","compound"
"42","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",131,"Dash","DASH","dash"
"43","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1518,"Maker","MKR","maker"
"44","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5034,"Kusama","KSM","kusama"
"45","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5805,"Avalanche","AVAX","avalanche"
"46","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3957,"UNUS SED LEO","LEO","unus-sed-leo"
"47","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1168,"Decred","DCR","decred"
"48","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7186,"PancakeSwap","CAKE","pancakeswap"
"49","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1437,"Zcash","ZEC","zcash"
"50","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1817,"Voyager Token","VGX","voyager-token"
"51","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2469,"Zilliqa","ZIL","zilliqa"
"52","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1321,"Ethereum Classic","ETC","ethereum-classic"
"53","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4157,"THORChain","RUNE","thorchain"
"54","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6535,"NEAR Protocol","NEAR","near-protocol"
"55","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4642,"Hedera Hashgraph","HBAR","hedera-hashgraph"
"56","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3513,"Fantom","FTM","fantom"
"57","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2577,"Ravencoin","RVN","ravencoin"
"58","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2694,"Nexo","NEXO","nexo"
"59","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4023,"Bitcoin BEP2","BTCB","bitcoin-bep2"
"60","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3718,"BitTorrent","BTT","bittorrent"
"61","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2130,"Enjin Coin","ENJ","enjin-coin"
"62","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2099,"ICON","ICX","icon"
"63","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5864,"yearn.finance","YFI","yearn-finance"
"64","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5617,"UMA","UMA","uma"
"65","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2700,"Celsius","CEL","celsius"
"66","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2539,"Ren","REN","ren"
"67","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1697,"Basic Attention Token","BAT","basic-attention-token"
"68","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1896,"0x","ZRX","0x"
"69","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2135,"Revain","REV","revain"
"70","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3890,"Polygon","MATIC","polygon"
"71","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3897,"OKB","OKB","okb"
