"id" "name" "symbol" "slug" "rank"
"1" "Bitcoin" "BTC" "bitcoin" "1"
"1027" "Ethereum" "ETH" "ethereum" "2"
"1839" "Binance Coin" "BNB" "binance-coin" "3"
"825" "Tether" "USDT" "tether" "4"
"2010" "Cardano" "ADA" "cardano" "5"
"6636" "Polkadot" "DOT" "polkadot-new" "6"
"52" "XRP" "XRP" "xrp" "7"
"7083" "Uniswap" "UNI" "uniswap" "8"
"2" "Litecoin" "LTC" "litecoin" "9"
"1975" "Chainlink" "LINK" "chainlink" "10"
"1831" "Bitcoin Cash" "BCH" "bitcoin-cash" "11"
"3408" "USD Coin" "USDC" "usd-coin" "12"
"512" "Stellar" "XLM" "stellar" "13"
"3717" "Wrapped Bitcoin" "WBTC" "wrapped-bitcoin" "14"
"74" "Dogecoin" "DOGE" "dogecoin" "15"
"2416" "THETA" "THETA" "theta" "16"
"4172" "Terra" "LUNA" "terra-luna" "17"
"3077" "VeChain" "VET" "vechain" "18"
"7278" "Aave" "AAVE" "aave" "19"
"3635" "Crypto.com Coin" "CRO" "crypto-com-coin" "20"
"3794" "Cosmos" "ATOM" "cosmos" "21"
"328" "Monero" "XMR" "monero" "22"
"4195" "FTX Token" "FTT" "ftx-token" "23"
"5426" "Solana" "SOL" "solana" "24"
"5805" "Avalanche" "AVAX" "avalanche" "25"
"1765" "EOS" "EOS" "eos" "26"
"1720" "IOTA" "MIOTA" "iota" "27"
"1958" "TRON" "TRX" "tron" "28"
"3602" "Bitcoin SV" "BSV" "bitcoin-sv" "29"
"4066" "Chiliz" "CHZ" "chiliz" "30"
"4030" "Algorand" "ALGO" "algorand" "31"
"873" "NEM" "XEM" "nem" "32"
"2280" "Filecoin" "FIL" "filecoin" "33"
"4642" "Hedera Hashgraph" "HBAR" "hedera-hashgraph" "34"
"4687" "Binance USD" "BUSD" "binance-usd" "35"
"2011" "Tezos" "XTZ" "tezos" "36"
"4943" "Dai" "DAI" "multi-collateral-dai" "37"
"1376" "Neo" "NEO" "neo" "38"
"2502" "Huobi Token" "HT" "huobi-token" "39"
"6758" "SushiSwap" "SUSHI" "sushiswap" "40"
"5034" "Kusama" "KSM" "kusama" "41"
"6892" "Elrond" "EGLD" "elrond-egld" "42"
"2130" "Enjin Coin" "ENJ" "enjin-coin" "43"
"131" "Dash" "DASH" "dash" "44"
"6719" "The Graph" "GRT" "the-graph" "45"
"2586" "Synthetix" "SNX" "synthetix-network-token" "46"
"1168" "Decred" "DCR" "decred" "47"
"3890" "Polygon" "MATIC" "polygon" "48"
"5692" "Compound" "COMP" "compound" "49"
"3957" "UNUS SED LEO" "LEO" "unus-sed-leo" "50"
"6535" "NEAR Protocol" "NEAR" "near-protocol" "51"
"1518" "Maker" "MKR" "maker" "52"
"3822" "Theta Fuel" "TFUEL" "theta-fuel" "53"
"2469" "Zilliqa" "ZIL" "zilliqa" "54"
"3718" "BitTorrent" "BTT" "bittorrent" "55"
"1966" "Decentraland" "MANA" "decentraland" "56"
"1437" "Zcash" "ZEC" "zcash" "57"
"2577" "Ravencoin" "RVN" "ravencoin" "58"
"2682" "Holo" "HOT" "holo" "59"
"7186" "PancakeSwap" "CAKE" "pancakeswap" "60"
"4023" "Bitcoin BEP2" "BTCB" "bitcoin-bep2" "61"
"1321" "Ethereum Classic" "ETC" "ethereum-classic" "62"
"5617" "UMA" "UMA" "uma" "63"
"2694" "Nexo" "NEXO" "nexo" "64"
"4157" "THORChain" "RUNE" "thorchain" "65"
"5864" "yearn.finance" "YFI" "yearn-finance" "66"
"2499" "SwissBorg" "CHSB" "swissborg" "67"
"1727" "Bancor" "BNT" "bancor" "68"
"4847" "Stacks" "STX" "stacks" "69"
"2700" "Celsius" "CEL" "celsius" "70"
