BASE;COUNTER;DATE;EXCHANGE
USD;EUR;2021-12-31;1.1368
USD;EUR;2021-12-30;1.1323
USD;EUR;2021-12-29;1.1348
USD;EUR;2021-12-28;1.1309
USD;EUR;2021-12-27;1.1325
USD;EUR;2021-12-24;1.1317
USD;EUR;2021-12-23;1.1328
USD;EUR;2021-12-22;1.1324
USD;EUR;2021-12-21;1.1283
USD;EUR;2021-12-20;1.1275
USD;EUR;2021-12-17;1.1239
USD;EUR;2021-12-16;1.1328
USD;EUR;2021-12-15;1.1285
USD;EUR;2021-12-14;1.1257
USD;EUR;2021-12-13;1.1283
USD;EUR;2021-12-10;1.1311
USD;EUR;2021-12-09;1.1292
USD;EUR;2021-12-08;1.1342
USD;EUR;2021-12-07;1.1263
USD;EUR;2021-12-04;1.1285
USD;EUR;2021-12-03;1.1313
USD;EUR;2021-12-02;1.1299
USD;EUR;2021-12-01;1.1319
USD;EUR;2021-11-30;1.1336
USD;EUR;2021-11-29;1.1291
USD;EUR;2021-11-26;1.1317
USD;EUR;2021-11-25;1.1206
USD;EUR;2021-11-24;1.1197
USD;EUR;2021-11-23;1.1246
USD;EUR;2021-11-22;1.1234
USD;EUR;2021-11-19;1.1289
USD;EUR;2021-11-18;1.1369
USD;EUR;2021-11-17;1.1319
USD;EUR;2021-11-16;1.1319
USD;EUR;2021-11-15;1.1367
USD;EUR;2021-11-12;1.145
USD;EUR;2021-11-11;1.145
USD;EUR;2021-11-10;1.1478
USD;EUR;2021-11-09;1.1591
USD;EUR;2021-11-08;1.1586
USD;EUR;2021-11-05;1.1566
USD;EUR;2021-11-04;1.1552
USD;EUR;2101-11-03;1.161
USD;EUR;2021-11-02;1.1577
USD;EUR;2021-11-01;1.1606
USD;EUR;2021-10-29;1.1561
USD;EUR;2021-10-28;1.1679
USD;EUR;2021-10-27;1.1604
USD;EUR;2021-10-26;1.1595
USD;EUR;2021-10-25;1.1606
USD;EUR;2021-10-22;1.1647
USD;EUR;2021-10-21;1.1621
USD;EUR;2021-10-20;1.1649
USD;EUR;2021-10-19;1.1632
USD;EUR;2021-10-18;1.1609
USD;EUR;2021-10-15;1.16
USD;EUR;2021-10-14;1.1594
USD;EUR;2021-10-13;1.1592
USD;EUR;2021-10-12;1.1527
USD;EUR;2021-10-11;1.1551
USD;EUR;2021-10-08;1.1567
USD;EUR;2021-10-07;1.155
USD;EUR;2021-10-06;1.1556
USD;EUR;2021-10-05;1.1596
USD;EUR;2021-10-04;1.1621
USD;EUR;2021-10-01;1.1594
USD;EUR;2021-09-30;1.1581
USD;EUR;2021-09-29;1.1595
USD;EUR;2021-09-28;1.1681
USD;EUR;2021-09-27;1.1694
USD;EUR;2021-09-24;1.1714
USD;EUR;2021-09-23;1.1736
USD;EUR;2021-09-22;1.1686
USD;EUR;2021-09-21;1.1723
USD;EUR;2021-09-20;1.1725
USD;EUR;2021-09-17;1.1725
USD;EUR;2021-09-16;1.1764
USD;EUR;2021-09-15;1.1815
USD;EUR;2021-09-14;1.1802
USD;EUR;2021-09-13;1.1808
USD;EUR;2021-09-10;1.1814
USD;EUR;2021-09-09;1.1825
USD;EUR;2021-09-08;1.1813
USD;EUR;2021-09-07;1.1839
USD;EUR;2021-09-06;1.1868
USD;EUR;2021-09-03;1.1882
USD;EUR;2021-09-02;1.1873
USD;EUR;2021-09-01;1.1837
USD;EUR;2021-08-31;1.1807
USD;EUR;2021-08-30;1.1795
USD;EUR;2021-08-27;1.1793
USD;EUR;2021-08-26;1.175
USD;EUR;2021-08-25;1.177
USD;EUR;2021-08-24;1.1753
USD;EUR;2021-08-23;1.1743
USD;EUR;2021-08-20;1.1696
USD;EUR;2021-08-19;1.1674
USD;EUR;2021-08-18;1.171
USD;EUR;2021-08-17;1.1708
USD;EUR;2021-08-16;1.1777
USD;EUR;2021-08-13;1.1791
USD;EUR;2021-08-12;1.1727
USD;EUR;2021-08-11;1.1737
USD;EUR;2021-08-10;1.1718
USD;EUR;2021-08-09;1.1737
USD;EUR;2021-08-06;1.176
USD;EUR;2021-08-05;1.1832
USD;EUR;2021-08-04;1.1835
USD;EUR;2021-08-03;1.186
USD;EUR;2021-08-02;1.1867
USD;EUR;2021-07-30;1.187
USD;EUR;2021-07-29;1.1886
USD;EUR;2021-07-28;1.1842
USD;EUR;2021-07-27;1.1814
USD;EUR;2021-07-26;1.1799
USD;EUR;2021-07-23;1.1771
USD;EUR;2021-07-22;1.177
USD;EUR;2021-07-21;1.1792
USD;EUR;2021-07-20;1.1779
USD;EUR;2021-07-19;1.1798
USD;EUR;2021-07-16;1.1805
USD;EUR;2021-07-15;1.1812
USD;EUR;2021-07-14;1.1835
