"tms","open","high","low","close","volume","market_cap"
"2021-03-21 23:59:06",2.3379,2.3497,2.2411,2.2411,5671.7738,1628748.0981
"2021-03-22 23:59:06",2.2451,2.3525,2.1253,2.1392,12348.7459,1554499.3018
"2021-03-23 23:59:06",2.1386,3.9794,1.9549,3.9768,175012.7929,2888818.9748
"2021-03-24 23:59:06",3.9745,11.8302,3.8876,6.8799,1272171.6861,4963896.3205
"2021-03-25 23:59:06",6.8698,9.7469,6.8591,7.9126,307240.7707,5683132.6842
"2021-03-26 23:59:06",7.9097,12.5714,7.9097,9.5433,455612.8742,6841065.3269
"2021-03-27 23:59:06",9.5354,22.8395,9.5354,20.2573,1459193.8335,14462565.9975
"2021-03-28 23:59:06",20.2571,24.5553,15.9721,19.803,822770.2019,14118834.2245
"2021-03-29 23:59:06",19.8054,24.0498,16.442,16.5755,643736.5689,11805907.1742
"2021-03-30 23:59:06",16.5766,27.4026,15.7788,25.2311,982162.1891,17931588.8421
"2021-03-31 23:59:06",25.2263,47.6487,24.23,44.9353,2025778.8646,31920775.9984
"2021-04-01 23:59:06",44.8447,65.8741,42.0299,57.783,1909630.677,40894993.7468
