paises bajos;Idioma;Subidioma;Poblacion;
Afganist‡n;Dari;;33Ê637Ê000;
Albania;Albanes;;2Ê824Ê000;
Alemania;Aleman;;83Ê435Ê000;
Andorra;Catalan;;78Ê000;
Angola;Portugues;;32Ê098Ê000;
Antigua y barbuda;criollo;Ingles;99Ê000;
Arabia Saudita;Arabe;;35Ê888Ê000;
Argelia;Arabe;Frances;45Ê101Ê000;
Argentina;Espa–ol;;45Ê809Ê000;
Armenia;Armenio;;2Ê960Ê000;
Australia;Ingles;;25Ê976Ê000;
Austria;Aleman;;8Ê956Ê000;
Azerbaiyan;Azeri;;10Ê147Ê000;
Bahamas;Ingles;;393Ê000;
Barein;Arabe;;1Ê540Ê000;
Bangladesh;Bengali;;172Ê373Ê000;
Barbados;criollo;Ingles;288Ê000;
Belgica;Aleman;Frances;11Ê580Ê000;
Belice;Criollo;Ingles;430Ê000;
Benin;Frances;;12Ê506Ê000;
Bielorusia;Ruso;;9Ê343Ê000;
Birmania;Birmano;;54Ê806Ê000;
Bosnia;Bosnio;;3Ê263Ê000;
Bolivia;Espa–ol;Aimara;11Ê797Ê000;
Botsuana;Setsuana;Ingles;2Ê410Ê000;
Brasil;portugues;;212Ê897Ê000;
Brunei;Malayo;;459Ê000;
Bulgaria;Bulgaro;;6Ê894Ê000;
Burkina Faso;Frances;;22Ê200Ê000;
Burundi;Kirundi;;12Ê575Ê000;
Butan;Dzonghka;;756Ê000;
Cabo verde;Portugues;;563Ê000;
Camboya;Camboyano;;16Ê052Ê000;
Camerun;Frances;Ingles;25Ê565Ê000;
Canada;Frances;Ingles;38Ê247Ê000;
Catar;Arabe;;2Ê632Ê000;
Chile;Espa–ol;;19Ê679Ê000;
China;Mandarin;;1Ê416Ê687Ê000;
Chipre;Griego;Turco;906Ê000;
Colombia;Espa–ol;;51Ê049Ê000;
Comoras;Arabe;Frances;812Ê000;
Congo 1;Frances;;5Ê657Ê000;
Congo 2;Frances;;105Ê451Ê000;
Corea Norte;Coreano;;25Ê660Ê000;
Corea Sur;Coreano;;51Ê696Ê000;
Costa de marfil;Frances;;27Ê088Ê000;
Costa rica;Espa–ol;;5Ê163Ê000;
Croacia;Croata;;4Ê082Ê000;
Cuba;Espa–ol;;11Ê175Ê000;
Dinamarca;Danes;;5Ê850Ê000;
Dominica;Ingles;;72Ê000;
Ecuador;Espa–ol;;17Ê794Ê000;
Egipto;Arabe;;102Ê980Ê000;
Salvador;Espa–ol;;6Ê326Ê000;
Emiratos Arabes;Arabe;;9Ê991Ê000;
Eritrea;Arabe;;3Ê601Ê000;
Eslovaquia;Eslovaco;;5Ê463Ê000;
Eslovenia;Esloveno;;2Ê112Ê000;
Espa–a;Espa–ol;;47Ê555Ê000;
USA;Ingles;Espa–ol;334Ê398Ê000;30%
Estonia;Estonio;;1Ê331Ê000;
Etiopia;Amarico;;103Ê359Ê000;
Filipinas;Tagalo;Ingles;110Ê272Ê000;
Finlandia;Fines;;5Ê540Ê000;
Fiyi;Fiyiano;;898Ê000;
Francia;Frances;;65Ê277Ê000;
Gabon;Frances;;2Ê233Ê000;
Gambia;Ingles;;2Ê294Ê000;
Georgia;Georgiano;;3Ê729Ê000;
Ghana;acano;Ingles;31Ê643Ê000;
granada;Ingles;;113Ê000;
Grecia;Griego;;10Ê702Ê000;
Guatemala;Espa–ol;;17Ê110Ê000;
Guinea;Frances;;12Ê907Ê000;
Guinea ecuatorial;Espa–ol;;1Ê506Ê000;
Ginea bisau;Portugues;;1Ê646Ê000;
Guyana;Ingles;;790Ê000;
Haiti;Frances;;11Ê910Ê000;
Honduras;Espa–ol;;9Ê451Ê000;
Hungria;Hungaro;;9Ê756Ê000;
India;Indi;Ingles;1Ê389Ê754Ê000;
Indonesia;Indonesio;;272Ê819Ê000;
Iran;Persa;;41Ê191Ê000;
irak;Arabe;;84Ê860Ê000;
Irlanda;Ingles;;5Ê048Ê000;
Islandia;Ingles;;372Ê000;
israel;Hebreo;;9Ê385Ê000;
italia;Italiano;;59Ê244Ê000;
Jamaica;criollo;Ingles;2Ê736Ê000;
Japon;Japones;;125Ê243Ê000;
Jordania;Arabe;;11Ê118Ê000;
Kazajistan;Kazajo;Ruso;19Ê007Ê000;
Kenia;Ingles;suajili;49Ê416Ê000;
Kirguisan;Ruso;;6Ê693Ê000;
Kiribate;Ingles;;121Ê000;
Kuwait;Arabe;;4Ê562Ê000;
Laos;Laosiano;;7Ê338Ê000;
Lesoto;Ingles;;2Ê079Ê000;
letonia;Leton;;1Ê883Ê000;
Libano;Arabe;;6Ê769Ê000;
Liberia;Ingles;;4Ê661Ê000;
Libia;Arabe;;6Ê959Ê000;
Liechtenstein;Aleman;;39Ê000;
Lituania;Lituano;;2Ê783Ê000;
Luxemburgo;Frances;;640Ê000;
Macedonia;Macedonio;;2Ê077Ê000;
Madagascar;Frances;;26Ê923Ê000;
Malasia;Malayo;;34Ê052Ê000;
Malaui;chichewa;Ingles;18Ê898Ê000;
Maldivas;divehi;;394Ê000;
Mali;Frances;;20Ê856Ê000;
Malta;Ingles;;548Ê000;
Marruecos;Arabe;Frances;36Ê264Ê000;
Marshal;;Ingles;;
Mauricio;;Ingles;1Ê268Ê000;
mauritania;Arabe;;4Ê271Ê000;
Mexico;Espa–ol;;127Ê950Ê000;
Micronesia;Espa–ol;;106Ê000;
Moldavia;Moldavo;Ruso;2Ê553Ê000;
Monaco;Frances;;38Ê000;
Mongolia;Mongol;;3Ê286Ê000;
Montenegro;Serbio;;621Ê000;
Mozambique;Portugues;;30Ê832Ê000;
Namibia;Ingles;;2Ê550Ê000;
Nauru;Ingles;;12Ê000;
Nepal;Nepali;;30Ê378Ê000;
Nicaragua;Espa–ol;;6Ê664Ê000;
Niger;Frances;;24Ê113Ê000;
Nigeria;;Ingles;211Ê401Ê000;
Noruega;Noruego;;5Ê404Ê000;
Nueva Zelanda;Ingles;maori;5Ê140Ê000;
Oman;Arabe;;4Ê550Ê000;
paises bajos;Neerandes;;17Ê510Ê000;
Pakistan;Urdu;Ingles;225Ê200Ê000;
Palaos;Ingles;;18Ê000;
Panama;Espa–ol;;4Ê339Ê000;
Papua;Hiri;;9Ê123Ê000;
Paraguay;Espa–ol;;7Ê353Ê000;
Peru;Espa–ol;;33Ê035Ê000;
Polonia;Polaco;;38Ê208Ê000;
Portugal;Portugues;;10Ê285Ê000;
Puerto Rico;Espa–ol;;3Ê226Ê000;
