Paises;Idioma;Subidioma;Poblacion;Continente
Afganistá;Dari;;33637;Asia
Albania;Albanes;;2824;Europa
Alemania;Aleman;;83435;Europa
Andorra;Catalan;;78;Europa
Angola;Portugues;;32098;Africa
Antigua y barbuda;criollo;Ingles;99;America
Arabia Saudita;Arabe;;35888;Asia
Argelia;Arabe;Frances;45101;Africa
Argentina;Castellano;;45809;America
Armenia;Armenio;;2960;Europa
Australia;Ingles;;25976;Oceania
Austria;Aleman;;8956;Europa
Azerbaiyan;Azeri;;10147;Europa
Bahamas;Ingles;;393;America
Barein;Arabe;;1540;Asia
Bangladesh;Bengali;;172373;Asia
Barbados;criollo;Ingles;288;America
Belgica;Aleman;Frances;11580;Europa
Belice;Criollo;Ingles;430;America
Benin;Frances;;12506;Asia
Bielorusia;Ruso;;9343;Europa
Birmania;Birmano;;54806;Asia
Bosnia;Bosnio;;3263;Europa
Bolivia;Castellano;Aimara;11797;America
Botsuana;Setsuana;Ingles;2410;Africa
Brasil;portugues;;212897;America
Brunei;Malayo;;459;Asia
Bulgaria;Bulgaro;;6894;Europa
Burkina Faso;Frances;;22200;Africa
Burundi;Kirundi;;12575;Africa
Butan;Dzonghka;;756;Asia
Cabo verde;Portugues;;563;Africa
Camboya;Camboyano;;16052;Asia
Camerun;Frances;Ingles;25565;Africa
Canada Frances;Frances;;11475;America
Canada Ingles;Ingles;;26773;
Catar;Arabe;;2632;Asia
Chile;Castellano;;19679;America
China;chino;;1416687;Asia
Chipre;Griego;Turco;906;Europa
Colombia;Castellano;;51049;America
Comoras;Arabe;Frances;812;Africa
Congo 1;Frances;;5657;Africa
Congo 2;Frances;;105451;Africa
Corea Norte;Coreano;;25660;Asia
Corea Sur;Coreano;;51696;Asia
Costa de marfil;Frances;;27088;Africa
Costa rica;Castellano;;5163;America
Croacia;Croata;;4082;Europa
Cuba;Castellano;;11175;America
Dinamarca;Danes;;5850;Europa
Dominica;Castellano;;72;America
Ecuador;Castellano;;17794;America
Egipto;Arabe;;102980;Africa
Salvador;Castellano;;6326;America
Emiratos Arabes;Arabe;;9991;Asia
Eritrea;Arabe;;3601;Africa
Eslovaquia;Eslovaco;;5463;Europa
Eslovenia;Esloveno;;2112;Europa
Españ;Castellano;;47555;Europa
USA;Ingles;;334398;America
Estonia;Estonio;;1331;Europa
Etiopia;Amarico;;103359;Africa
Filipinas;Tagalo;Ingles;110272;Asia
Finlandia;Fines;;5540;Europa
Fiyi;Fiyiano;;898;Oceania
Francia;Frances;;65277;Europa
Gabon;Frances;;2233;Africa
Gambia;Ingles;;2294;Africa
Georgia;Georgiano;;3729;Europa
Ghana;acano;Ingles;31643;Africa
